State,SourceID,SourceNodeColor,SourceNodeSize,EdgeColor,EdgeWeight,TargetID,TargetNodeSize,PhosphorylationSiteID,TargetNodeColor
TimeStamp0,Source1,-0.82,1.2,-1.8,3.38,Target1,1.16,SiteTarget1-1,-1.76
TimeStamp0,Source1,-0.82,1.2,-1.8,3.38,Target1,1.16,SiteTarget1-2,0.88
TimeStamp0,Source1,-0.82,1.2,-1.8,3.38,Target1,1.16,SiteTarget1-3,0.67
TimeStamp0,Source1,-0.82,1.2,-1.8,3.38,Target1,1.16,SiteTarget1-4,-0.71
TimeStamp0,Source1,-0.82,1.2,-0.14,0.6,Target2,0.77,SiteTarget2-1,-1.35
TimeStamp0,Source1,-0.82,1.2,2.946,0.55,Target3,2.31,SiteTarget3-1,3.31
TimeStamp0,Source1,-0.82,1.2,2.946,0.55,Target3,2.31,SiteTarget3-2,-1.72
TimeStamp0,Source1,-0.82,1.2,2.946,0.55,Target3,2.31,SiteTarget3-3,-1.18
TimeStamp0,Source1,-0.82,1.2,2.946,0.55,Target3,2.31,SiteTarget3-4,-2.72
TimeStamp0,Source1,-0.82,1.2,2.48,3.14,Target4,2.12,SiteTarget4-1,3.28
TimeStamp0,Source1,-0.82,1.2,0.5,0.8,Target5,2.14,SiteTarget5-1,-2.52
TimeStamp0,Source1,-0.82,1.2,-2.95,1.42,Target6,3.11,SiteTarget6-1,2.72
TimeStamp0,Source2,3.73,2.345,-2.21,1.04,Target1,1.16,SiteTarget1-1,-3.41
TimeStamp0,Source2,3.73,2.345,-2.21,1.04,Target1,1.16,SiteTarget1-2,0.39
TimeStamp0,Source2,3.73,2.345,-2.21,1.04,Target1,1.16,SiteTarget1-3,-0.34
TimeStamp0,Source2,3.73,2.345,-2.21,1.04,Target1,1.16,SiteTarget1-4,3.13
TimeStamp0,Source2,3.73,2.345,-3.56,1.34,Target7,2.97,SiteTarget7-1,2.2
TimeStamp0,Source3,2.34,1.51,1.95,0.84,Target8,1.03,SiteTarget8-1,1.1
TimeStamp0,Source3,2.34,1.51,0.06,2.5,Target3,2.31,SiteTarget3-1,2.8
TimeStamp0,Source3,2.34,1.51,0.06,2.5,Target3,2.31,SiteTarget3-2,2.02
TimeStamp0,Source3,2.34,1.51,0.06,2.5,Target3,2.31,SiteTarget3-3,-3.75
TimeStamp0,Source3,2.34,1.51,0.06,2.5,Target3,2.31,SiteTarget3-4,-1.79
TimeStamp0,Source3,2.34,1.51,-2.91,3.36,Target9,1.17,SiteTarget9-1,-1.97
TimeStamp0,Source3,2.34,1.51,-2.91,3.36,Target9,1.17,SiteTarget9-2,1.74
TimeStamp0,Source3,2.34,1.51,-2.29,2.16,Target10,3.58,SiteTarget10-1,-0.93
TimeStamp0,Source3,2.34,1.51,0.93,1.24,Target11,1.03,SiteTarget11-1,-1.53
TimeStamp0,Source3,2.34,1.51,2.96,2.07,Target12,2.72,SiteTarget12-1,-1.53
TimeStamp0,Source3,2.34,1.51,-1.6,3.51,Target13,0.14,SiteTarget13-1,1.21
TimeStamp0,Source3,2.34,1.51,-3.51,3.73,Target14,3.09,SiteTarget14-1,-2.68
TimeStamp0,Source3,2.34,1.51,1.79,2.51,Target15,2.23,SiteTarget15-1,3.34
TimeStamp0,Source3,2.34,1.51,-3.8,2.07,Target16,2.28,SiteTarget16-1,-3.26
TimeStamp0,Source4,-1.6,1.78,-0.93,3.26,Target17,3.7,SiteTarget17-1,-0.46
TimeStamp0,Source4,-1.6,1.78,-0.93,3.26,Target17,3.7,SiteTarget17-2,1.35
TimeStamp0,Source4,-1.6,1.78,-0.93,3.26,Target17,3.7,SiteTarget17-3,-3.58
TimeStamp0,Source4,-1.6,1.78,-0.93,3.26,Target17,3.7,SiteTarget17-4,-0.67
TimeStamp0,Source4,-1.6,1.78,-0.93,3.26,Target17,3.7,SiteTarget17-5,-0.38
TimeStamp0,Source4,-1.6,1.78,-0.93,3.26,Target17,3.7,SiteTarget17-6,3.38
TimeStamp0,Source4,-1.6,1.78,2.48,2.46,Target18,3.89,SiteTarget18-1,-2.09
TimeStamp0,Source4,-1.6,1.78,1.66,1.45,Target18,3.55,SiteTarget18-2,2.28
TimeStamp0,Source4,-1.6,1.78,-0.67,0.01,Target19,0.8,SiteTarget19-1,-2.57
TimeStamp0,Source4,-1.6,1.78,-2.33,1.93,Target20,2.68,SiteTarget20-1,-3.82
TimeStamp0,Source5,2.371,3.47,1.98,2.09,Target21,0.73,SiteTarget21-1,-2.98
TimeStamp0,Source5,2.371,3.47,1.98,2.09,Target21,0.73,SiteTarget21-2,2.73
TimeStamp0,Source5,2.371,3.47,1.98,2.09,Target21,0.73,SiteTarget21-3,-1.07
TimeStamp0,Source5,2.371,3.47,1.98,2.09,Target21,0.73,SiteTarget21-4,0.95
TimeStamp0,Source5,2.371,3.47,1.98,2.09,Target22,0.73,SiteTarget22-1,-1.21
TimeStamp0,Source5,2.371,3.47,1.98,2.09,Target23,0.73,SiteTarget23-1,-1.09
TimeStamp0,Source5,2.371,3.47,2.4,3.84,Target17,3.7,SiteTarget17-1,-2.56
TimeStamp0,Source5,2.371,3.47,2.4,3.84,Target17,3.7,SiteTarget17-2,2.6
TimeStamp0,Source5,2.371,3.47,2.4,3.84,Target17,3.7,SiteTarget17-3,-3.37
TimeStamp0,Source5,2.371,3.47,2.4,3.84,Target17,3.7,SiteTarget17-4,-3.7
TimeStamp0,Source5,2.371,3.47,2.4,3.84,Target17,3.7,SiteTarget17-5,-2.48
TimeStamp0,Source5,2.371,3.47,2.4,3.84,Target17,3.7,SiteTarget17-6,1.47
TimeStamp0,Source5,2.371,3.47,0.32,2.71,Target5,2.14,SiteTarget5-1,-0.89
TimeStamp0,Source6,2.88,2.09,0.96,2.04,Target24,0.01,SiteTarget24-2,3.89
TimeStamp0,Source6,2.88,2.09,0.96,2.04,Target24,0.01,SiteTarget24-3,-1.75
TimeStamp0,Source6,2.88,2.09,3.21,1.84,Target25,1.7,SiteTarget25-1,-2.4
TimeStamp0,Source6,2.88,2.09,3.21,1.84,Target26,1.7,SiteTarget26-1,-3.34
TimeStamp0,Source6,2.88,2.09,3.36,3.42,Target23,3.66,SiteTarget23-1,-3.57