KinaseID,KinaseSize,EdgeColor,EdgeWeight,TargetID,TargetSize,PhosphoSiteID,Diff_Protein_Phosphorylation
Source1,1.2,-1.8,3.38,Target1,1.16,SiteTarget1-1,-1.76
Source1,1.2,-1.8,3.38,Target1,1.16,SiteTarget1-2,0.88
Source1,1.2,-1.8,3.38,Target1,1.16,SiteTarget1-3,0.67
Source1,1.2,-1.8,3.38,Target1,1.16,SiteTarget1-4,-0.71
Source1,1.2,-0.14,0.6,Target2,0.77,SiteTarget2-1,-1.35
Source1,1.2,2.946,0.55,Target3,2.31,SiteTarget3-1,3.31
Source1,1.2,2.946,0.55,Target3,2.31,SiteTarget3-2,-1.72
Source1,1.2,2.946,0.55,Target3,2.31,SiteTarget3-3,-1.18
Source1,1.2,2.946,0.55,Target3,2.31,SiteTarget3-4,-2.72
Source1,1.2,2.48,3.14,Target4,2.12,SiteTarget4-1,3.28
Source1,1.2,0.5,0.8,Target5,2.14,SiteTarget5-1,-2.52
Source1,1.2,-2.95,1.42,Target6,3.11,SiteTarget6-1,2.72
Source2,2.345,-2.21,1.04,Target1,1.16,SiteTarget1-1,-3.41
Source2,2.345,-2.21,1.04,Target1,1.16,SiteTarget1-2,0.39
Source2,2.345,-2.21,1.04,Target1,1.16,SiteTarget1-3,-0.34
Source2,2.345,-2.21,1.04,Target1,1.16,SiteTarget1-4,3.13
Source2,2.345,-3.56,1.34,Target7,2.97,SiteTarget7-1,2.2
Source3,1.51,1.95,0.84,Target8,1.03,SiteTarget8-1,1.1
Source3,1.51,0.06,2.5,Target3,2.31,SiteTarget3-1,2.8
Source3,1.51,0.06,2.5,Target3,2.31,SiteTarget3-2,2.02
Source3,1.51,0.06,2.5,Target3,2.31,SiteTarget3-3,-3.75
Source3,1.51,0.06,2.5,Target3,2.31,SiteTarget3-4,-1.79
Source3,1.51,-2.91,3.36,Target9,1.17,SiteTarget9-1,-1.97
Source3,1.51,-2.91,3.36,Target9,1.17,SiteTarget9-2,1.74
Source3,1.51,-2.29,2.16,Target10,3.58,SiteTarget10-1,-0.93
Source3,1.51,0.93,1.24,Target11,1.03,SiteTarget11-1,-1.53
Source3,1.51,2.96,2.07,Target12,2.72,SiteTarget12-1,-1.53
Source3,1.51,-1.6,3.51,Target13,0.14,SiteTarget13-1,1.21
Source3,1.51,-3.51,3.73,Target14,3.09,SiteTarget14-1,-2.68
Source3,1.51,1.79,2.51,Target15,2.23,SiteTarget15-1,3.34
Source3,1.51,-3.8,2.07,Target16,2.28,SiteTarget16-1,-3.26
Source4,1.78,-0.93,3.26,Target17,3.7,SiteTarget17-1,-0.46
Source4,1.78,-0.93,3.26,Target17,3.7,SiteTarget17-2,1.35
Source4,1.78,-0.93,3.26,Target17,3.7,SiteTarget17-3,-3.58
Source4,1.78,-0.93,3.26,Target17,3.7,SiteTarget17-4,-0.67
Source4,1.78,-0.93,3.26,Target17,3.7,SiteTarget17-5,-0.38
Source4,1.78,-0.93,3.26,Target17,3.7,SiteTarget17-6,3.38
Source4,1.78,2.48,2.46,Target18,3.99,SiteTarget18-1,-2.09
Source4,1.78,1.66,1.45,Target18,3.55,SiteTarget18-2,2.28
Source4,1.78,-0.67,0.01,Target19,0.8,SiteTarget19-1,-2.57
Source4,1.78,-2.33,1.93,Target20,2.68,SiteTarget20-1,-3.82
Source5,3.47,1.98,2.09,Target21,0.73,SiteTarget21-1,-2.98
Source5,3.47,1.98,2.09,Target21,0.73,SiteTarget21-2,2.73
Source5,3.47,1.98,2.09,Target21,0.73,SiteTarget21-3,-1.07
Source5,3.47,1.98,2.09,Target21,0.73,SiteTarget21-4,0.95
Source5,3.47,1.98,2.09,Target22,0.73,SiteTarget22-1,-1.21
Source5,3.47,1.98,2.09,Target23,0.73,SiteTarget23-1,-1.09
Source5,3.47,2.4,3.84,Target17,3.7,SiteTarget17-1,-2.56
Source5,3.47,2.4,3.84,Target17,3.7,SiteTarget17-2,2.6
Source5,3.47,2.4,3.84,Target17,3.7,SiteTarget17-3,-3.37
Source5,3.47,2.4,3.84,Target17,3.7,SiteTarget17-4,-3.7
Source5,3.47,2.4,3.84,Target17,3.7,SiteTarget17-5,-2.48
Source5,3.47,2.4,3.84,Target17,3.7,SiteTarget17-6,1.47
Source5,3.47,0.32,2.71,Target5,2.14,SiteTarget5-1,-0.89
Source6,2.09,0.96,2.04,Target24,0.01,SiteTarget24-2,3.89
Source6,2.09,0.96,2.04,Target24,0.01,SiteTarget24-3,-1.75
Source6,2.09,3.21,1.84,Target25,1.7,SiteTarget25-1,-2.4
Source6,2.09,3.21,1.84,Target26,1.7,SiteTarget26-1,-3.34
Source6,2.09,3.36,3.42,Target23,3.66,SiteTarget23-1,-3.57
Source6,2.09,3.36,3.42,Source6,3.66,Source-6-1,-3.57
Source6,2.09,3.36,3.42,Source6,3.66,Source-6-2,-1
Source6,2.09,3.36,3.42,Source6,3.66,Source-6-3,2
Source6,2.09,3.36,3.42,Source6,3.66,Source-6-4,-3